"","player_name","drafted","GP","min_total","adjoe","ht_rev","Min_per"
"124","AARON FULLER","No",112,4956.6,103.846067489812,78,44.2553571428571
"125","AARON GANSON","No",2,0.4,-0.368511,70,0.2
"126","AARON GARNER","No",31,1354.7,97.815,76,43.7
"127","AARON GARRIOTT","No",15,805.5,77.0386,75,53.7
"128","AARON GERAMIPOOR","No",92,1449.1,89.2522141260092,83,15.7510869565217
"129","AARON GIBBS","No",29,1397.8,86.2619,75,48.2
"130","AARON GORDON","Yes",38,2929.8,115.178,80,77.1
"131","AARON GRAHAM","No",115,7068.3,96.6598241571524,76,61.4634782608696
"132","AARON HALL","No",25,960,84.5528,75,38.4
"133","AARON HARRISON","No",79,5716.2,122.139426262202,78,72.3569620253164
"134","AARON HARWELL","No",87,3934.6,67.9960120673004,71,45.2252873563218
"135","AARON HAWK-HARRIS","No",14,142.8,67.1529,76,10.2
"136","AARON HAWLEY","No",126,5877,99.0404321031138,79.5,46.6428571428571
"137","AARON HENDRICKS","No",4,2.8,141.147,72,0.7
"138","AARON HENDRIX","No",7,9.7,96.316206185567,74,1.38571428571429
"139","AARON HENRY","No",97,6515.3,109.881628888923,78,67.1680412371134
"140","AARON HENSON","No",8,6,57.44726,78,0.75
"141","AARON HINES","No",88,4836.2,82.2400023448162,72,54.9568181818182
"142","AARON HOLIDAY","Yes",101,7910.5,116.649881924025,73,78.3217821782178
"143","AARON HOLMES","No",37,1253.3,98.7074483363919,77,33.872972972973
"144","AARON HORNE","No",24,736.8,84.8399,77,30.7
"145","AARON INGLE","No",28,68.6,69.1626466472303,72,2.45
"146","AARON JACKSON","No",145,5389.2,112.088185541453,78.6,37.1668965517241
"147","AARON JACQUES","No",9,10.8,121.116,78,1.2
"148","AARON JOHNSON","No",99,7815.7,101.799179049861,67.3333333333333,78.9464646464646
"149","AARON JONES","No",115,3730.6,100.936281498955,NA,32.44
"150","AARON JORDAN","No",118,4797.7,110.50824411072,77,40.6584745762712
"151","AARON KORN","No",106,3364,83.6108968489893,76,31.7358490566038
"152","AARON LAW","No",23,63.8,87.9789808777429,71.6666666666667,2.77391304347826
"153","AARON LEBLANC","No",29,120.5,68.1858048962656,77,4.1551724137931
"154","AARON LIBERMAN","No",22,41.8,112.72943062201,82,1.9
"155","AARON LINN","No",27,2100.6,100.721,75,77.8
"156","AARON MARTIN","No",28,1360.8,80.8737,77,48.6
"157","AARON MCREYNOLDS","No",1,0.1,-7.21206,NA,0.1
"158","AARON MENZIES","No",93,3674.6,103.363814183857,87,39.5118279569892
"159","AARON MISIPEKA-WARD","No",10,17,59.8066,74,1.7
"160","AARON MITCHELL","No",53,3952.4,95.9374569527376,74,74.5735849056604
"161","AARON MOESCH","No",73,430.2,114.025858298466,80,5.89315068493151
"162","AARON MOISE","No",6,4.2,37.6585,77,0.7
"163","AARON MOORE","No",34,2144,108.188451343284,80,63.0588235294118
"164","AARON MORGAN","No",57,2337.1,70.8856544948868,71,41.0017543859649
"165","AARON MORRIS","No",1,0.2,51.4692,78,0.2
"166","AARON MURPHY","No",13,131.3,109.328,78,10.1
"167","AARON NESMITH","Yes",46,2853.6,112.932307541351,78,62.0347826086957
"168","AARON NETTLES","No",95,3069.5,94.2856639420101,71.5,32.3105263157895
"169","AARON NOLL","No",18,9.7,122.084582061856,79,0.538888888888889
"170","AARON O'NEILL","No",50,471.5,68.9606766256628,72,9.43
"171","AARON OSGOOD","No",32,498.8,94.8304103849238,81,15.5875
"172","AARON PARKS","No",106,6228.9,96.5866387949718,75,58.7632075471698
"173","AARON PATTERSON","No",1,0.2,-0.0252554,77,0.2
"174","AARON PEEK","No",14,8,18.64681055,76,0.571428571428571
"175","AARON POGUE","No",97,5614.8,95.5323532770535,81,57.8845360824742
"176","AARON RAY","No",56,2458.5,84.0550579865772,75,43.9017857142857
"177","AARON RICHIE","No",26,371,105.916574123989,79,14.2692307692308
"178","AARON ROBINSON","No",92,3732.4,82.1779706730254,78,40.5695652173913
"179","AARON ROHLMAN","No",40,80,71.1272575,78,2
"180","AARON ROSS","No",111,4007.6,121.190536360914,80,36.1045045045045
"181","AARON ROUNTREE","No",120,4443.5,91.9281598739732,80,37.0291666666667
"182","AARON SCALES","No",95,2508.9,86.8080689226354,81,26.4094736842105
"183","AARON SCOTT","No",32,1438.4,100.93963381535,76,44.95
"184","AARON SHORT","No",32,1350.4,108.319,75,42.2
"185","AARON SILER","No",10,24.4,84.8199098360656,71,2.44
"186","AARON SIMPSON","No",62,3084.6,98.2108514880373,71,49.7516129032258
"187","AARON SMITH","No",35,164.6,58.6272693195626,74,4.70285714285714
"188","AARON SPIVEY","No",24,31.4,109.450621019108,74,1.30833333333333
"189","AARON TATE","No",105,5763,87.8498000937012,77,54.8857142857143
"190","AARON THOMAS","No",76,4476.6,111.441589666265,77,58.9026315789474
